sign,unicode
usanₓ,𒉱
za₅,𒀭
za5,𒀭
ita₄,𒀭𒀀𒇉
ita4,𒀭𒀀𒇉
iti₄,𒀭𒀀𒇉
iti4,𒀭𒀀𒇉
itu₄,𒀭𒀀𒇉
itu4,𒀭𒀀𒇉
abₓ,𒉣
nab₃,𒀭𒀭
nab3,𒀭𒀭
namₓ,𒅘
šuhubₓ,𒀭𒀯
szuhubₓ,𒀭𒀯
tilla₄,𒀭𒀸𒀀𒀭
tilla4,𒀭𒀸𒀀𒀭
barzil,𒀭𒀸𒀭
tilla₂,𒀭𒀸𒀭
tilla2,𒀭𒀸𒀭
tillaₓ,𒀮
tilla₅,𒀭𒀹𒀭
tilla5,𒀭𒀹𒀭
kunigara,𒀭𒁈
tilla₃,𒀭𒁹𒀭
tilla3,𒀭𒁹𒀭
aššan,𒀭𒁺𒀭
aszszan,𒀭𒁺𒀭
anzuₓ,𒄷𒈪𒀭𒅎
qutraₓ,𒀭𒅎
kutraₓ,𒀭𒅎
anzu,𒀭𒅎𒂂
anzud,𒀭𒅎𒂂
anzu₂,𒀭𒅎𒈪
anzu2,𒀭𒅎𒈪
anzud₂,𒀭𒅎𒈪
anzud2,𒀭𒅎𒈪
ili₇,𒀭𒈨𒌍
ili7,𒀭𒈨𒌍
kunigara₂,𒀭𒈲
kunigara2,𒀭𒈲
an-na,𒀭𒈾
nagga,𒀭𒈾
nanga₅,𒀭𒈾
nanga5,𒀭𒈾
niggi,𒀭𒈾
niggin,𒀭𒈾
nanibgal,𒀭𒉀
ligidbaₓ,𒀭𒊩𒌆𒅁
ṣillu,𒀭𒊨
"s,illu",𒀭𒊨
ṣil₃,𒀭𒊨
"s,il3",𒀭𒊨
nanibgal₂,𒀭𒊺𒉀
nanibgal2,𒀭𒊺𒉀
kunigara₃,𒀭𒌅
kunigara3,𒀭𒌅
uzugₓ,𒅗
nab,𒀮
nap,𒀮
dalhamun₄,𒀱
dalhamun4,𒀱
dalhamun₅,𒀰
dalhamun5,𒀰
nanna₂,𒀭𒋀𒆠
nanna2,𒀭𒋀𒆠
anše,𒀲
ansze,𒀲
anše@d,𒀲
ansze@d,𒀲
anši,𒀲
anszi,𒀲
anšu,𒀲
anszu,𒀲
sumugan,𒄊
šakan₃,𒀲
szakan3,𒀲
šakan₄,𒀲𒀭
szakan4,𒀲𒀭
du₂₅,𒀲𒀴
du25,𒀲𒀴
dur₃,𒀲𒀴
dur3,𒀲𒀴
duru₃,𒀲𒀴
duru3,𒀲𒀴
šagginₓ,𒀲𒀴
szagginₓ,𒀲𒀴
šakkan₆,𒀲𒀴
szakkan6,𒀲𒀴
dusi₂,𒀲𒅆𒂠
dusi2,𒀲𒅆𒂠
dussa₂,𒀲𒅆𒂠
dussa2,𒀲𒅆𒂠
dusu₂,𒀲𒅆𒂠
dusu2,𒀲𒅆𒂠
sisiₓ,𒀲𒆳
sisi,𒀲𒆳𒊏
anšeₓ,𒄏
anszeₓ,𒄏
anšuₓ,𒀲𒉺
anszuₓ,𒀲𒉺
sumuganₓ,𒀲𒉺
šakanₓ,𒀲𒉺
szakanₓ,𒀲𒉺
eme₆,𒀲𒊩
eme6,𒀲𒊩
durₓ,𒀴𒀲
kunga₃,𒁇𒀭
kunga3,𒁇𒀭
kungi₃,𒁇𒀭
kungi3,𒁇𒀭
mul,𒀯
